Link,Title,Location,Salary,Summary
https://kr.indeed.com/viewjob?jk=df6c46b5370711fa,"Manager, Integration",Matrix PDM Engineering 대한민국,,reports to management at established intervals. Ensure long-term integration goals are established and consistent interaction...
https://kr.indeed.com/viewjob?jk=14776ba4c748cf8d,Account Executive,Dynatrace 서울,,Dynatrace team. Manage the balance between short-term gain and long-term growth for all opportunities and initiatives...
https://kr.indeed.com/viewjob?jk=fd931859616e5a6d,Knowledge Analyst - RTS,McKinsey & Company 4.3 서울,,"clients, solve real life complex problems and deliver long term sustainable impact. You’ll work across all various phases..."
https://kr.indeed.com/viewjob?jk=add19cdd119cf678,In-Country Sales Executive - Korea,Eurocentres 대한민국,,discussions and contract negotiations Develop long-term strategic relationships with key agents Responsible to develop...
https://kr.indeed.com/viewjob?jk=4083c6f96deb776c,제빵 기계 및 설비 제조업체 영업직(Sales Manager),유한회사 노박앤드파트너 경기도,,implement appropriate short/long-term sales strategies... geared toward... productive long-term relationships...
https://kr.indeed.com/viewjob?jk=0c4d61fbef6d8b66,KR_HP_Giotrif Associate Product Manager,Boehringer Ingelheim 4.1 대한민국,,"Outlook and long-term forecast process... family owned company, we focus on long term performance. We are powered by 50,000..."
https://kr.indeed.com/viewjob?jk=e4266c56b15deed9,Area Manager (Bilingual),"International Dairy Queen, Inc. 서울",,assistance to assigned franchisees to achieve short and long-term Company and Operations objectives. Utilize knowledge...
https://kr.indeed.com/viewjob?jk=219fd17ef703b320,Associate (2020 Intake),AlphaSights 서울,,getting... aware of how AlphaSights fits with your longer term goals * Commercially driven – desire to develop sales...
https://kr.indeed.com/viewjob?jk=a8fb36edd48e2246,Technician (Contractor),CSA Group 서울,,Employment Status: Temporary (Fixed Term) Time Type: Full time BUILDING A WORLD CLASS TEAM STARTS WITH YOU... heart...
https://kr.indeed.com/viewjob?jk=c1725082c289adab,Territory Manager,Thomson Reuters 서울,,"strong, long-term customer relationships... business advisor to promote long term relationships... client and drives..."
https://kr.indeed.com/viewjob?jk=ee0da2a17649ab2b,"[해외취업] 미국, Koowill, 기획 및 마케팅 사무원",Koowill Inc. 대한민국,,"marketing efforts help us achieve our immediate and long-term business goals. And also interpreter, who will cover duties..."
https://kr.indeed.com/viewjob?jk=633ce21ad3b79e31,Strategic Planning Manager,Unity Technologies 서울,,competitive research to get analysis for short term and long term strategic planning of existing business or new business...
https://kr.indeed.com/viewjob?jk=c7cabce66eb97b91,자동차 애프터마켓 Sales Manager,허브커리어 서울 강남구,,"target. - Manage profitability through pricing, payment term, and product mix. - Manage channel by adding, terminating..."
https://kr.indeed.com/viewjob?jk=97c64bdcd8383421,KERING Treasury Accountant,Groupe Kering 서울,,communicate with people at all levels. Job Type Fixed Term (Fixed Term) Start Date 2019-12-16 Schedule Full time...
https://kr.indeed.com/viewjob?jk=b7a8e50dde5906bd,Technical Sales Representative,Rotho Blaas Srl 서울 +1 지역,,development in new areas * Market analysis for long term establishment... area YOUR PROFILE: * Some experience...
https://kr.indeed.com/viewjob?jk=e93a343f3aee0a33,Finance Project Consultant (Contractor),Burberry 서울,,mindset is core to our business and key to our long-term success. JOB PURPOSE This position... support local FP&A team...
https://kr.indeed.com/viewjob?jk=32d42166caac5457,Area Sales Manager,Regus 서울,,consultant who can generate and grow valuable long term client partnerships Excellent team player and communicator...
https://kr.indeed.com/viewjob?jk=99bd752a01e818d2,Intern - Environment Affairs,United Nations ESCAP 인천,,commission of any... acts. The term “sexual exploitation” means any actual... conditions. The term “sexual harassment...
https://kr.indeed.com/viewjob?jk=40b82c0057ced6f2,[Talent Pool] Retail Standard & Operatio...,Burberry 서울,,"mindset is core to our business and key to our long-term success. JOB PURPOSE RESPONSIBILITIES Supervise, implement..."
https://kr.indeed.com/viewjob?jk=defa619f4758b10b,Oncology MR (Busan),AstraZeneca 부산광역시,,needs and external environment. Typically establish long-term relationships with key customers. Typical Accountabilities...
https://kr.indeed.com/viewjob?jk=95487b9c3cb35f7d,Application Specialist,Elekta 경기도 성남,,"Conferences (as required), to maximize Users perceptions of long-term continuity and reliability of Elekta Maintain knowledge..."
https://kr.indeed.com/viewjob?jk=5df34b9a5d61397d,HR Director,Thermo Fisher - APAC 3.5 서울,,retaining the top talent required for short and long-term business success. Responsibilities: Serve as HR Business Partner...
https://kr.indeed.com/viewjob?jk=954fe43ebe9a4f5d,"Research Scientist, Chemistry (Ph.D. or...",Seoul Asan Medical Center 서울,,begins... continue working legally... proposed term of employment. The appointment... one year and may...
https://kr.indeed.com/viewjob?jk=5e8988a4e3b25313,INTERN - ENVIRONMENT AFFAIRS [Temporary],United Nations 인천,,commission of any... acts. The term “sexual exploitation” means any actual... conditions. The term “sexual harassment...
https://kr.indeed.com/viewjob?jk=0f7cbb5f2936eb56,"Services Engagement Manager, R&D Service...",Veeva Systems 서울,,need and set expectations correctly... focus on long-term success Position other Veeva Service offers (e.g. Support...
